Year,Type,Fund_Name,Assets,Liabilities,Active_Male,Active_Female,Retired_Members,Active_Members,Position,Funding
2016,Police,Berwyn Police Pension Fund,80661928.16,113733550.9,105,7,50,112,-33071622.74,0.70921841
2016,Police,Bethalto Police Pension Fund,6902951.89,11596351.52,12,1,8,13,-4693399.63,0.595269286
2016,Police,Bloomingdale Police Pension Fund,30783990.55,53641077.47,39,6,21,45,-22857086.92,0.573888371
2016,Police,Bloomington Police Pension Fund,66521414.48,125765291.1,121,3,68,124,-59243876.62,0.528933014
2016,Police,Blue Island Police Pension Fund,11061696.01,36452921.45,34,1,23,35,-25391225.44,0.303451564
2016,Police,Bolingbrook Police Pension Fund,60355528.74,112018225.3,104,8,41,112,-51662696.6,0.538800972
2016,Police,Bourbonnais Police Pension Fund,12632163.99,17259626,24,0,9,24,-4627462.01,0.731890945
2016,Police,Bradley Police Pension Fund,15376187.29,23822338.96,31,1,14,32,-8446151.67,0.64545246
2016,Police,Braidwood Police Pension Fund,3602501.51,6082078.48,9,1,1,10,-2479576.97,0.59231421
2016,Police,Bridgeview Police Pension Fund,22248389.81,41846434.75,29,1,20,30,-19598044.94,0.531667511
2016,Police,Broadview Police Pension Fund,26024205.87,38467068.05,27,2,23,29,-12442862.18,0.676532088
2016,Police,Brookfield Police Pension Fund,16515379.37,32930495.41,30,1,22,31,-16415116.04,0.501522348
2016,Police,Buffalo Grove Police Pension Fund,61896799.91,88026160.14,51,12,43,63,-26129360.23,0.703163694
2016,Police,Burbank Police Pension Fund,38494104.81,54735712.59,43,3,33,46,-16241607.78,0.703272196
2016,Police,Burnham Police Pension Fund,1969069.62,7350309.6,10,0,4,10,-5381239.98,0.267889344
2016,Police,Burr Ridge Police Pension Fund,16074961.54,23042216.35,24,2,11,26,-6967254.81,0.697630874
2016,Police,Cahokia Police Pension Fund,15206444.69,23105673.47,30,2,16,32,-7899228.78,0.65812601
2016,Police,Cairo Police Pension Fund,1208974.04,5453762.89,5,0,8,5,-4244788.85,0.221677045
2016,Police,Calumet City Police Pension Fund,49328350.5,90531237.46,77,7,44,84,-41202886.96,0.544876574
2016,Police,Calumet Park Police Pension Fund,8086270.83,16691643.45,14,2,7,16,-8605372.62,0.484450249
2016,Police,Campton Hills Police Pension Fund,1552873.25,1836852.75,6,0,0,6,-283979.5,0.845398876
2016,Police,Canton Police Pension Fund,15391357.62,19895861.23,21,1,16,22,-4504503.61,0.773595948
2016,Police,Carbondale Police Pension Fund,23741438.39,47760209.67,52,13,38,65,-24018771.28,0.497096612
2016,Police,Carlinville Police Pension Fund,3905853.94,6945146.34,12,0,8,12,-3039292.4,0.562386125
2016,Police,Carmi Police Pension Fund,3468909.77,7567159.37,8,1,6,9,-4098249.6,0.458416375
2016,Police,Carol Stream Police Pension Fund,44143735.04,63060759.7,54,7,28,61,-18917024.66,0.700019081
2016,Police,Carpentersville Police Pension Fund,38002406.74,64580580.44,58,2,30,60,-26578173.7,0.588449445
2016,Police,Carterville Police Pension Fund,512240.79,1427695.6,7,1,1,8,-915454.81,0.358788519
2016,Police,Cary Police Pension Fund,10110247.92,19644387.17,22,3,9,25,-9534139.25,0.514663442
2016,Police,Caseyville Police Pension Fund,2480923.63,4527265.73,10,0,2,10,-2046342.1,0.547996026
2016,Police,Centralia Police Pension Fund,10393753.63,20720289.56,21,2,21,23,-10326535.93,0.501622026
2016,Police,Centreville Police Pension Fund,1012124.67,3901748,11,1,1,12,-2889623.33,0.259402881
2016,Police,Champaign Police Pension Fund,93737283,119308752,105,11,72,116,-25571469.03,0.785669797
2016,Police,Channahon Police Pension Fund,7411528.09,12222738.36,23,0,3,23,-4811210.27,0.606372146
2016,Police,Charleston Police Pension Fund,12452689.13,27285123.04,29,1,19,30,-14832433.91,0.456391166
2016,Police,Chatham Police Pension Fund,6360592.53,9721443.07,14,1,5,15,-3360850.54,0.65428481
2016,Police,Cherry Valley Police Pension Fund,2937128.95,11687868.83,12,0,7,12,-8750739.88,0.251297221
2016,Police,Chester Police Pension Fund,3111385.9,4073671.83,9,0,5,9,-962285.93,0.763779222
2016,Police,Chicago Heights Police Pension Fund,45840817.49,93927853.61,79,1,52,80,-48087036.12,0.488042851
2016,Police,Chicago Ridge Police Pension Fund,19376672.61,36235114.57,30,1,15,31,-16858441.96,0.534748485
2016,Police,Chillicothe Police Pension Fund,3402281.32,5288813.7,10,0,5,10,-1886532.38,0.64329763
2016,Police,Cicero Police Pension Fund,67453026.61,134575605.3,137,12,70,149,-67122578.64,0.501227741
2016,Police,Clarendon Hills Police Pension Fund,9666540.43,15280955.88,12,2,9,14,-5614415.45,0.632587418
2016,Police,Clinton Police Pension Fund,5495735.51,5587368.11,12,0,4,12,-91632.6,0.983600042
2016,Police,Coal City Police Pension Fund,2060294.32,7956173.7,11,0,3,11,-5895879.38,0.258955422
2016,Police,Collinsville Police Pension Fund,24865477.64,37419866.42,39,3,19,42,-12554388.78,0.664499369
2016,Police,Colona Police Pension Fund,2087190.76,4871770.77,8,3,4,11,-2784580.01,0.428425486
2016,Police,Columbia Police Pension Fund,5762094.34,8107380.27,14,2,5,16,-2345285.93,0.710722101
2016,Police,Country Club Hills Police Pension Fund,19014966.89,34852165.48,31,5,17,36,-15837198.59,0.545589252
2016,Police,Countryside Police Pension Fund,19299744.74,35076247.56,21,2,16,23,-15776502.82,0.550222617
2016,Police,Crest Hill Police Pension Fund,16409308.34,23186145.84,27,2,10,29,-6776837.5,0.707720397
2016,Police,Crestwood Police Pension Fund,576640.48,1253548.47,5,0,1,5,-676907.99,0.460006529
2016,Police,Crete Police Pension Fund,7191074.89,9895351.6,17,0,5,17,-2704276.71,0.726712418
2016,Police,Creve Coeur Police Pension Fund,1933082.69,3663096.05,8,1,4,9,-1730013.36,0.527718264
2016,Police,Crystal Lake Police Pension Fund,35715105.53,60311259.78,55,5,27,60,-24596154.25,0.59217973
2016,Police,Danville Police Pension Fund,18280013.3,59945026.73,53,11,52,64,-41665013.43,0.304946287
2016,Police,Darien Police Pension Fund,25506263.26,42551281.84,28,4,18,32,-17045018.58,0.599424087
2016,Police,Decatur Police Pension Fund,99877323.65,154949118.2,142,15,104,157,-55071794.55,0.644581427
2016,Police,Deerfield Police Pension Fund,43052683.74,54322149.82,35,3,29,38,-11269466.08,0.792543813
2016,Police,Dekalb Police Pension Fund,32712245.9,67074426.96,57,4,42,61,-34362181.06,0.487700714
2016,Police,Des Plaines Police Pension Fund,66886154.14,139030100.3,79,10,78,89,-72143946.12,0.481091174
2016,Police,Dixon Police Pension Fund,14924200.91,22478512.26,29,1,16,30,-7554311.35,0.66393188
2016,Police,Dolton Police Pension Fund,26104894.19,36767427.92,40,3,24,43,-10662533.73,0.710000554
2016,Police,Downers Grove Police Pension Fund,52588915.35,93290077.27,64,5,46,69,-40701161.92,0.563713922
2016,Police,Duquoin Police Pension Fund,4076742.9,7367424.91,11,0,4,11,-3290682.01,0.553347058
2016,Police,East Alton Police Pension Fund,3039371.26,8900056.05,10,0,6,10,-5860684.79,0.341500238
2016,Police,East Dundee Police Pension Fund,8351054.78,14465387.52,12,0,8,12,-6114332.74,0.577312897
2016,Police,East Moline Police Pension Fund,20618926.73,34752832.13,35,1,27,36,-14133905.4,0.593302055
2016,Police,East Peoria Police Pension Fund,27092935.76,43182265.67,44,3,27,47,-16089329.91,0.627408853
2016,Police,East St Louis Police Pension Fund,18155808.89,48418501.28,39,8,39,47,-30262692.39,0.374976681
2016,Police,Edwardsville Police Pension Fund,20623720.52,28710417,38,4,13,42,-8086696.48,0.718335805
2016,Police,Effingham Police Pension Fund,14726786.15,20038836.3,21,1,17,22,-5312050.15,0.734912244
2016,Police,Elburn Police Pension Fund,990018.93,2940684.72,4,1,2,5,-1950665.79,0.336662725
2016,Police,Eldorado Police Pension Fund,1700642.57,2720452.23,7,0,3,7,-1019809.66,0.625132304
2016,Police,Elgin Police Pension Fund,101506872.7,206137697.8,166,16,94,182,-104630825.2,0.492422656
2016,Police,Elk Grove Village Police Pension Fund,74144611.9,117118864.1,81,8,61,89,-42974252.16,0.633071474
2016,Police,Elmhurst Police Pension Fund,58938100.9,91841507.64,59,6,60,65,-32903406.74,0.64173708
2016,Police,Elmwood Park Police Pension Fund,15915931.04,41995516.16,35,2,23,37,-26079585.12,0.378991199
2016,Police,Eureka Police Pension Fund,547878.34,500738.5,5,1,0,6,47139.84,1.094140634
2016,Police,Evanston Police Pension Fund,108422254.4,202327124.2,138,27,131,165,-93904869.76,0.535876022
2016,Police,Evergreen Park Police Pension Fund,48962548.05,64634021.85,55,4,34,59,-15671473.8,0.757535221
2016,Police,Fairfield Police Pension Fund,2563219.61,7357593.98,11,0,7,11,-4794374.37,0.34837742
2016,Police,Fairview Heights Police Pension Fund,25696336.74,36428916.68,44,0,19,44,-10732579.94,0.705382951
2016,Police,Flora Police Pension Fund,5462072.17,8304239.57,11,0,4,11,-2842167.4,0.657745014
2016,Police,Flossmoor Police Pension Fund,13321915.5,20339050.97,18,1,9,19,-7017135.47,0.654991992
2016,Police,Forest Park Police Pension Fund,22382161.72,42640875,36,2,23,38,-20258713.28,0.524899213
2016,Police,Forest View Police Pension Fund,2688426.47,9751408.15,8,0,7,8,-7062981.68,0.275696231
2016,Police,Fox Lake Police Pension Fund,14879074.98,18691264.62,18,3,8,21,-3812189.64,0.796044317
2016,Police,Fox River Grove Police Pension Fund,2571248.34,8967052,7,2,5,9,-6395803.66,0.286743998
2016,Police,Frankfort Police Pension Fund,11592313.81,20028960.43,26,2,8,28,-8436646.62,0.578777608
2016,Police,Franklin Park Police Pension Fund,24431474.35,55970059.11,45,3,33,48,-31538584.76,0.436509711
2016,Police,Freeport Police Pension Fund,22625776.24,42864142.9,43,3,37,46,-20238366.66,0.527848563
2016,Police,Galesburg Police Pension Fund,25910045.66,48848928.81,43,5,40,48,-22938883.15,0.530411747
2016,Police,Geneseo Police Pension Fund,5365144.92,9325530.96,13,0,7,13,-3960386.04,0.575317903
2016,Police,Geneva Police Pension Fund,19573436.66,35122780.41,32,3,15,35,-15549343.75,0.557286081
2016,Police,Genoa Police Pension Fund,1608048.79,5318640.88,5,2,0,7,-3710592.09,0.302342051
2016,Police,Gilberts Police Pension Fund,1964355.51,3442977.08,7,0,0,7,-1478621.57,0.570539816
2016,Police,Glen Carbon Police Pension Fund,6307005.37,7518914.83,20,0,1,20,-1211909.46,0.838818568
2016,Police,Glen Ellyn Police Pension Fund,29082060.72,43352737.5,34,4,28,38,-14270676.78,0.670824091
2016,Police,Glencoe Police Pension Fund,32713868.06,48460152.29,30,3,21,33,-15746284.23,0.67506738
2016,Police,Glendale Heights Police Pension Fund,36773155.6,57457284.85,45,8,23,53,-20684129.25,0.640008585
2016,Police,Glenview Police Pension Fund,75360047.46,95326711.63,62,7,46,69,-19966664.17,0.790544918
2016,Police,Glenwood Police Pension Fund,7999592.55,14957671.18,20,1,10,21,-6958078.63,0.534815377
2016,Police,Granite City Police Pension Fund,17607646.42,53756381.74,51,5,36,56,-36148735.32,0.32754523
2016,Police,Grayslake Police Pension Fund,17900572.93,21774787.11,26,4,6,30,-3874214.18,0.822077977
2016,Police,Greenville Police Pension Fund,4274843.75,6436229.7,9,1,4,10,-2161385.95,0.66418446
2016,Police,Gurnee Police Pension Fund,40508153.56,59196271.36,55,6,23,61,-18688117.8,0.684302451
2016,Police,Hampshire Police Pension Fund,1197924.18,2847719.76,11,0,0,11,-1649795.58,0.420660838
2016,Police,Hanover Park Police Pension Fund,30879890.46,54808708.67,51,8,31,59,-23928818.21,0.563412115
2016,Police,Harrisburg Police Pension Fund,5496093.92,10312595.49,13,0,7,13,-4816501.57,0.532949627
2016,Police,Harvard Police Pension Fund,9867534.17,14991864.8,16,1,9,17,-5124330.63,0.65819258
2016,Police,Harvey Police Pension Fund,16213263.41,31677082.48,50,3,22,53,-15463819.07,0.511829441
2016,Police,Harwood Heights Police Pension Fund,17499285.9,26748199.64,22,3,12,25,-9248913.74,0.654222943
2016,Police,Hawthorn Woods Police Pension Fund,3361769.56,5771877.62,10,2,1,12,-2410108.06,0.582439508
2016,Police,Hazel Crest Police Pension Fund,15132674.36,25991437,24,3,13,27,-10858762.64,0.582217688
2016,Police,Herrin Police Pension Fund,6553064.79,12564611.88,17,0,5,17,-6011547.09,0.521549321
2016,Police,Hickory Hills Police Pension Fund,22854907.41,32186172.03,26,2,15,28,-9331264.62,0.710084672
2016,Police,Highland Park Police Pension Fund,37304717.26,77264638.39,49,8,45,57,-39959921.13,0.48281747
2016,Police,Highland Police Pension Fund,10429337.95,15327410.26,19,1,10,20,-4898072.31,0.680437058
2016,Police,Highwood Police Pension Fund,3027354.26,4651036.69,10,0,2,10,-1623682.43,0.650898813
2016,Police,Hillsboro Police Pension Fund,1638549.58,3053414.22,8,0,1,8,-1414864.64,0.53662866
2016,Police,Hillside Police Pension Fund,17828552.37,37038850.05,25,1,15,26,-19210297.68,0.481347351
2016,Police,Hinsdale Police Pension Fund,27936995.63,34780399.6,25,1,16,26,-6843403.97,0.803239639
2016,Police,Hodgkins Police Pension Fund,13309386.28,22627536.76,17,3,9,20,-9318150.48,0.588194218
2016,Police,Hoffman Estates Police Pension Fund,73938007.31,125021316.4,78,10,55,88,-51083309.12,0.591403206
2016,Police,Homewood Police Pension Fund,25781718.9,46216665.88,34,5,24,39,-20434946.98,0.557844631
2016,Police,Hoopeston Police Pension Fund,3336581.75,5074052.86,10,0,5,10,-1737471.11,0.657577255
2016,Police,Huntley Police Pension Fund,7774025.49,15134069.84,28,5,4,33,-7360044.35,0.513677125
2016,Police,Island Lake Police Pension Fund,3725944.83,7653815.84,11,1,3,12,-3927871.01,0.48680879
2016,Police,Itasca Police Pension Fund,15714604.95,31079615.54,20,2,19,22,-15365010.59,0.505624175
2016,Police,Jacksonville Police Pension Fund,16964866.94,29236965.28,37,2,27,39,-12272098.34,0.58025403
2016,Police,Jerseyville Police Pension Fund,3426460.4,11075429.88,14,1,9,15,-7648969.48,0.309374935
2016,Police,Johnsburg Police Pension Fund,2355548.3,5881071.88,8,2,1,10,-3525523.58,0.400530439
2016,Police,Joliet Police Pension Fund,199561037.9,335713248.5,242,21,136,263,-136152210.6,0.594438971
2016,Police,Kankakee Police Pension Fund,21849694.76,62816162.02,21,0,7,21,-40966467.26,0.347835558
2016,Police,Kenilworth Police Pension Fund,7126523.4,13342502.04,60,8,33,68,-6215978.64,0.534121964
2016,Police,Kewanee Police Pension Fund,9383784.3,15905028.07,9,0,7,9,-6521243.77,0.589988541
2016,Police,Kildeer Police Pension Fund,4106452.05,10293132.15,22,0,13,22,-6186680.1,0.398950678
2016,Police,Lagrange Park Police Pension Fund,14209327.22,24861161.92,8,0,4,8,-10651834.7,0.571547189
2016,Police,Lagrange Police Pension Fund,17233228.19,35416216.41,17,4,16,21,-18182988.22,0.486591453
2016,Police,Lake Bluff Police Pension Fund,9277206.38,16613217.7,21,5,27,26,-7336011.32,0.558423211
2016,Police,Lake Forest Police Pension Fund,28957735.62,53255250.03,12,2,8,14,-24297514.41,0.543753632
2016,Police,Lake In The Hills Police Pension Fund,26306858.25,32588260.25,39,1,30,40,-6281402,0.807249545
2016,Police,Lake Villa Police Pension Fund,5211002.83,12452349.88,34,5,10,39,-7241347.05,0.418475459
2016,Police,Lake Zurich Police Pension Fund,20271345.23,39673191.67,16,1,2,17,-19401846.44,0.510958266
2016,Police,Lakemoor Police Pension Fund,462305.55,1427861.21,29,4,18,33,-965555.66,0.323774851
2016,Police,Lansing Police Pension Fund,33404633.18,74295534.69,14,0,0,14,-40890901.51,0.449618316
2016,Police,Lasalle Police Pension Fund,6773797.92,19120663.8,52,2,37,54,-12346865.88,0.354265835
2016,Police,Lawrenceville Police Pension Fund,4171852.42,5563563.42,23,0,14,23,-1391711,0.749852586
2016,Police,Lemont Police Pension Fund,14686850.91,21571888.75,5,1,8,6,-6885037.84,0.680832869
2016,Police,Libertyville Police Pension Fund,28907689.09,51535050.06,25,2,10,27,-22627360.97,0.56093259
2016,Police,Lincoln Police Pension Fund,9811154.29,22347033.73,35,3,27,38,-12535879.44,0.439036089
2016,Police,Lincolnshire Police Pension Fund,21449214.48,23940555.35,24,2,21,26,-2491340.87,0.895936379
2016,Police,Lincolnwood Police Pension Fund,19999550.54,42811381.99,16,6,12,22,-22811831.45,0.467154986
2016,Police,Lindenhurst Police Pension Fund,7449965.06,8732444.78,26,6,28,32,-1282479.72,0.853136235
2016,Police,Lisle Police Pension Fund,27176799.56,38414958.19,12,2,1,14,-11238158.63,0.707453576
2016,Police,Litchfield Police Pension Fund,5166805.34,9954523.61,32,5,15,37,-4787718.27,0.519040945
2016,Police,Lockport Police Pension Fund,20386932.74,31839757.98,14,0,8,14,-11452825.24,0.640297981
2016,Police,Lombard Police Pension Fund,63379094.1,92933210.92,36,1,18,37,-29554116.82,0.681985412
2016,Police,Loves Park Police Pension Fund,13254607.56,24720736.12,63,6,54,69,-11466128.56,0.53617366
2016,Police,Lynwood Police Pension Fund,2958774.81,9111620.77,31,2,16,33,-6152845.96,0.324725412
2016,Police,Lyons Police Pension Fund,10036799.11,27083010.8,16,2,3,18,-17046211.69,0.370593919
2016,Police,Macomb Police Pension Fund,13474495.47,20769834.23,11,1,16,12,-7295338.76,0.648753154
2016,Police,Madison Police Pension Fund,2016804.07,10802495.97,25,1,25,26,-8785691.9,0.18669797
2016,Police,Mahomet Police Pension Fund,1212427.65,1893164.76,11,1,10,12,-680737.11,0.640423737
2016,Police,Manhattan Police Pension Fund,1620175.53,5811556.59,6,1,0,7,-4191381.06,0.278785125
2016,Police,Manteno Police Pension Fund,6631770.77,7327186.65,9,2,5,11,-695415.88,0.905091011
2016,Police,Marengo Police Pension Fund,5122291.92,11639121.53,18,0,0,18,-6516829.61,0.440092657
2016,Police,Marion Police Pension Fund,10823659.38,17974786.61,13,1,3,14,-7151127.23,0.602157879
2016,Police,Markham Police Pension Fund,18215680.2,25588148.04,29,4,10,33,-7372467.84,0.711879585
2016,Police,Marseilles Police Pension Fund,3656664.97,4584658.38,32,6,11,38,-927993.41,0.797587228
2016,Police,Maryville Police Pension Fund,2700160.89,3894723.01,9,0,2,9,-1194562.12,0.693287015
2016,Police,Mascoutah Police Pension Fund,4983267.74,6780160.73,12,0,1,12,-1796892.99,0.734977818
2016,Police,Matteson Police Pension Fund,22766445.09,42049800.08,12,0,1,12,-19283354.99,0.54141625
2016,Police,Mattoon Police Pension Fund,17625976.51,38470062.73,32,4,22,36,-20844086.22,0.458173844
2016,Police,Maywood Police Pension Fund,18254931.09,54087882.77,38,0,29,38,-35832951.68,0.337505004
2016,Police,Mccook Police Pension Fund,9704666.36,18841319.62,45,8,30,53,-9136653.26,0.515073602
2016,Police,Mchenry Police Pension Fund,22004521.9,40931632.83,17,1,9,18,-18927110.93,0.537592087
2016,Police,Melrose Park Police Pension Fund,23563560.11,69225088.62,39,6,19,45,-45661528.51,0.340390465
2016,Police,Mendota Police Pension Fund,5701768.57,10121198.94,74,5,32,79,-4419430.37,0.563349125
2016,Police,Metropolis Police Pension Fund,5975285.03,9345736.72,12,3,9,15,-3370451.69,0.639359444
2016,Police,Midlothian Police Pension Fund,14337767.58,19423527.97,13,1,8,14,-5085760.39,0.738164951
2016,Police,Milan Police Pension Fund,6029622.67,12004007.98,28,0,10,28,-5974385.31,0.502300788
2016,Police,Minooka Police Pension Fund,6092239.45,8210550.28,13,1,10,14,-2118310.83,0.742001357
2016,Police,Mokena Police Pension Fund,18449408.7,21632970.74,16,3,2,19,-3183562.04,0.852837501
2016,Police,Moline Police Pension Fund,37979587.75,88729345.86,27,2,8,29,-50749758.11,0.428038631
2016,Police,Monee Police Pension Fund,1314718.42,3768747.27,68,10,60,78,-2454028.85,0.348847595
2016,Police,Monmouth Police Pension Fund,7131077.01,13441865.07,11,1,0,12,-6310788.06,0.530512468
2016,Police,Montgomery Police Pension Fund,8773325.54,14196508.97,18,1,12,19,-5423183.43,0.617991758
2016,Police,Monticello Police Pension Fund,1111219.4,3154454.26,22,2,6,24,-2043234.86,0.352269936
2016,Police,Morris Police Pension Fund,12861916.03,20892426.96,4,1,2,5,-8030510.93,0.615625751
2016,Police,Morton Grove Police Pension Fund,33142218.22,62624692.02,22,3,11,25,-29482473.8,0.52921966
2016,Police,Morton Police Pension Fund,11700557.89,15203818.39,44,2,41,46,-3503260.5,0.769580219
2016,Police,Mt Carmel Police Pension Fund,3768227.49,7586940.14,21,1,9,22,-3818712.65,0.496672891
2016,Police,Mt Prospect Police Pension Fund,63159303.06,108761415.6,11,1,12,12,-45602112.53,0.580714242
2016,Police,Mt Vernon Police Pension Fund,18813499.1,26962341.78,73,10,50,83,-8148842.68,0.697769476
2016,Police,Mt. Zion Police Pension Fund,1077015.93,2305266.55,42,1,17,43,-1228250.62,0.467198004
2016,Police,Mundelein Police Pension Fund,25425854.73,44826509.14,10,0,1,10,-19400654.41,0.567205772
2016,Police,Murphysboro Police Pension Fund,5472134.02,10512908.45,49,4,23,53,-5040774.43,0.520515711
2016,Police,Naperville Police Pension Fund,155387467.6,201334623,15,0,7,15,-45947155.38,0.771787114
2016,Police,New Lenox Police Pension Fund,18489403.77,27496518.29,147,18,74,165,-9007114.52,0.67242709
2016,Police,Niles Police Pension Fund,30477357.2,77532308.18,30,6,8,36,-47054950.98,0.39309235
2016,Police,Normal Police Pension Fund,33373664.48,63752158.11,49,4,41,53,-30378493.63,0.523490741
2016,Police,Norridge Police Pension Fund,25293064.28,42986780.71,70,10,42,80,-17693716.43,0.588391684
2016,Police,North Aurora Police Pension Fund,14657727.53,22684285.19,36,2,25,38,-8026557.66,0.646162196
2016,Police,North Chicago Police Pension Fund,16649114.98,49269987.42,25,4,11,29,-32620872.44,0.337915958
2016,Police,North Riverside Police Pension Fund,15765542.66,37158265.39,51,4,24,55,-21392722.73,0.42428091
2016,Police,Northbrook Police Pension Fund,45817190.56,84725073.28,22,4,19,26,-38907882.72,0.540774871
2016,Police,Northfield Police Pension Fund,16211958.81,27747043.01,62,4,48,66,-11535084.2,0.584276991
2016,Police,Northlake Police Pension Fund,18221484.11,30185385.45,19,0,13,19,-11963901.34,0.603652524
2016,Police,Oak Brook Police Pension Fund,35308515.8,51901631.79,36,4,13,40,-16593115.99,0.680296834
2016,Police,Oak Forest Police Pension Fund,27065693.71,44312332.16,34,6,27,40,-17246638.45,0.610793709
2016,Police,Oak Lawn Police Pension Fund,75771235.82,145004154.4,40,2,22,42,-69232918.6,0.522545276
2016,Police,Oak Park Police Pension Fund,90955097.84,150968165.8,104,4,79,108,-60013068,0.602478657
2016,Police,Oakbrook Terrace Police Pension Fund,11185917.72,21277535.15,94,13,92,107,-10091617.43,0.525714921
2016,Police,O'Fallon Police Pension Fund,26702482.68,32399686.21,18,2,12,20,-5697203.53,0.824158682
2016,Police,Oglesby Police Pension Fund,2845645.92,6392957.91,40,3,17,43,-3547311.99,0.445121955
2016,Police,Olney Police Pension Fund,4391965.68,11182857.73,9,0,5,9,-6790892.05,0.392740906
2016,Police,Olympia Fields Police Pension Fund,8679186.95,20257611.72,11,1,10,12,-11578424.77,0.428440779
2016,Police,Orland Hills Police Pension Fund,3014621.16,7910917.51,20,0,11,20,-4896296.35,0.381070989
2016,Police,Orland Park Police Pension Fund,80845730.13,105385990.8,9,0,2,9,-24540260.66,0.767139252
2016,Police,Oswego Police Pension Fund,23562056.43,29160826.45,86,8,44,94,-5598770.02,0.808003726
2016,Police,Ottawa Police Pension Fund,18729394.29,27386861.47,44,5,7,49,-8657467.18,0.683882464
2016,Police,Palatine Police Pension Fund,69228057.02,116432329,36,1,20,37,-47204271.99,0.59457762
2016,Police,Palos Heights Police Pension Fund,18764696.07,35931971.64,98,8,53,106,-17167275.57,0.5222284
2016,Police,Palos Hills Police Pension Fund,16951652.17,30063052.1,25,2,18,27,-13111399.93,0.563869966
2016,Police,Palos Park Police Pension Fund,2649859.67,5443178.16,27,4,18,31,-2793318.49,0.486822146
2016,Police,Pana Police Pension Fund,3018643.35,7140942.78,9,1,2,10,-4122299.43,0.422723363
2016,Police,Paris Police Pension Fund,6277567.2,9053826.04,9,0,7,9,-2776258.84,0.693360704
2016,Police,Park City Police Pension Fund,1567654.63,7376930.37,16,0,5,16,-5809275.74,0.212507717
2016,Police,Park Forest Police Pension Fund,20253387.76,42353696.97,8,0,2,8,-22100309.21,0.478196455
2016,Police,Park Ridge Police Pension Fund,44831860.96,68638556.41,40,2,27,42,-23806695.45,0.653158564
2016,Police,Pekin Police Pension Fund,29686069.34,48623752.41,44,8,33,52,-18937683.07,0.610526088
2016,Police,Peoria Heights Police Pension Fund,2180633.8,5356242.84,51,5,37,56,-3175609.04,0.40712004
2016,Police,Peoria Police Pension Fund,163727253.5,289795187.8,11,1,2,12,-126067934.3,0.56497575
2016,Police,Peotone Police Pension Fund,1321233.99,5133612.83,197,25,171,222,-3812378.84,0.257369232
2016,Police,Peru Police Pension Fund,8718556.66,18780012.03,7,1,3,8,-10061455.37,0.464246596
2016,Police,Pinckneyville Police Pension Fund,715003.36,3574016.28,23,2,15,25,-2859012.92,0.200055989
2016,Police,Plainfield Police Pension Fund,25956315.44,31022870.43,6,0,4,6,-5066554.99,0.83668323
2016,Police,Plano Police Pension Fund,5407514.16,7506969.66,46,7,5,53,-2099455.5,0.720332492
2016,Police,Pontiac Police Pension Fund,9190300.52,13586024.35,18,1,1,19,-4395723.83,0.676452528
2016,Police,Pontoon Beach Police Pension Fund,3823193,10089756.38,18,1,9,19,-6266563.38,0.378918267
2016,Police,Posen Police Pension Fund,4096284.49,5300390.13,13,1,8,14,-1204105.64,0.772826979
